L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 6.0, 1, 18, 15, 32, 0.385
40, 4.5, 1, 9, 15, 32, 0.364411764706
40, 5.5, 1, 12, 15, 32, 0.378235294118
40, 5.0, 1, 7, 15, 32, 0.400294117647
40, 6.5, 1, 16, 15, 32, 0.403235294118
40, 4.0, 1, 20, 15, 32, 0.367941176471
40, 6.5, 1, 1, 15, 32, 0.425882352941
40, 9.5, 1, 19, 15, 32, 0.702058823529
40, 9.5, 1, 20, 15, 32, 0.720588235294
40, 9.5, 1, 6, 15, 32, 0.672941176471
